state_district,bioguide_id,sortable_name,full_name,title,first_name,middle_name,last_name,suffix,official_name,formal_name,prior_congress,party,caucus,state_code,state,district,town,office_building,office_room,office_zip,office_zip_suffix,phone,last_elected_date,sworn_date
GA01,C001103,"CARTER,EARL","Carter, Earl",Mr.,Earl,"L. ""Buddy""",Carter,,"Earl L. ""Buddy"" Carter",Mr. Carter of Georgia,116,R,R,GA,Georgia,1st,Pooler,RHOB,2432,20515,1001,(202) 225-5831,20201103,20210103
GA02,B000490,"BISHOP,SANFORD","Bishop, Sanford",Mr.,Sanford,D.,Bishop,Jr.,"Sanford D. Bishop, Jr.",Mr. Bishop of Georgia,116,D,D,GA,Georgia,2nd,Albany,RHOB,2407,20515,1002,(202) 225-3631,20201103,20210103
GA03,F000465,"FERGUSON,A.","Ferguson, A.",Mr.,A.,Drew,Ferguson,IV,A. Drew Ferguson IV,Mr. Ferguson,116,R,R,GA,Georgia,3rd,The Rock,LHOB,1032,20515,1003,(202) 225-5901,20201103,20210103
GA04,J000288,"JOHNSON,HENRY","Johnson, Henry",Mr.,Henry,"C. ""Hank""",Johnson,Jr.,"Henry C. ""Hank"" Johnson, Jr.",Mr. Johnson of Georgia,116,D,D,GA,Georgia,4th,Lithonia,RHOB,2240,20515,1004,(202) 225-1605,20201103,20210103
GA05,W000788,"WILLIAMS,NIKEMA","Williams, Nikema",Ms.,Nikema,,Williams,,Nikema Williams,Ms. Williams of Georgia,0,D,D,GA,Georgia,5th,Atlanta,LHOB,1406,20515,1005,(202) 225-3801,20201103,20210103
GA06,M001208,"MCBATH,LUCY","McBath, Lucy",Mrs.,Lucy,,McBath,,Lucy McBath,Mrs. McBath,116,D,D,GA,Georgia,6th,Marietta,LHOB,1513,20515,1006,(202) 225-4501,20201103,20210103
GA07,B001312,"BOURDEAUX,CAROLYN","Bourdeaux, Carolyn",Ms.,Carolyn,,Bourdeaux,,Carolyn Bourdeaux,Ms. Bourdeaux,0,D,D,GA,Georgia,7th,Suwanee,LHOB,1319,20515,1007,(202) 225-4272,20201103,20210103
GA08,S001189,"SCOTT,AUSTIN","Scott, Austin",Mr.,Austin,,Scott,,Austin Scott,Mr. Austin Scott of Georgia,116,R,R,GA,Georgia,8th,Tifton,RHOB,2417,20515,1008,(202) 225-6531,20201103,20210103
GA09,C001116,"CLYDE,ANDREW","Clyde, Andrew",Mr.,Andrew,S.,Clyde,,Andrew S. Clyde,Mr. Clyde,0,R,R,GA,Georgia,9th,Athens,CHOB,521,20515,1009,(202) 225-9893,20201103,20210103
GA10,H001071,"HICE,JODY","Hice, Jody",Mr.,Jody,B.,Hice,,Jody B. Hice,Mr. Hice of Georgia,116,R,R,GA,Georgia,10th,Greensboro,CHOB,404,20515,1010,(202) 225-4101,20201103,20210103
GA11,L000583,"LOUDERMILK,BARRY","Loudermilk, Barry",Mr.,Barry,,Loudermilk,,Barry Loudermilk,Mr. Loudermilk,116,R,R,GA,Georgia,11th,Cassville,RHOB,2133,20515,1011,(202) 225-2931,20201103,20210103
GA12,A000372,"ALLEN,RICK","Allen, Rick",Mr.,Rick,W.,Allen,,Rick W. Allen,Mr. Allen,116,R,R,GA,Georgia,12th,Augusta,CHOB,570,20515,1012,(202) 225-2823,20201103,20210103
GA13,S001157,"SCOTT,DAVID","Scott, David",Mr.,David,,Scott,,David Scott,Mr. David Scott of Georgia,116,D,D,GA,Georgia,13th,Atlanta,CHOB,468,20515,1013,(202) 225-2939,20201103,20210103
GA14,G000596,"GREENE,MARJORIE","Greene, Marjorie",Mrs.,Marjorie,Taylor,Greene,,Marjorie Taylor Greene,Mrs. Greene of Georgia,0,R,R,GA,Georgia,14th,Rome,LHOB,1023,20515,1014,(202) 225-5211,20201103,20210103
GU00,S001204,"SANNICOLAS,MICHAEL","San Nicolas, Michael",Mr.,Michael,F. Q.,San Nicolas,,Michael F. Q. San Nicolas,Mr. San Nicolas,116,D,D,GU,Guam,Delegate,Dededo,LHOB,1632,20515,5301,(202) 225-1188,20201103,20210103
HI01,C001055,"CASE,ED","Case, Ed",Mr.,Ed,,Case,,Ed Case,Mr. Case,116,D,D,HI,Hawaii,1st,Kaneohe,RHOB,2210,20515,1101,(202) 225-2726,20201103,20210103
HI02,K000396,"KAHELE,KAIALII","Kahele, Kaiali'i",Mr.,Kaiali'i,,Kahele,,Kaiali'i Kahele,Mr. Kahele,0,D,D,HI,Hawaii,2nd,Hilo,LHOB,1205,20515,1102,(202) 225-4906,20201103,20210103
IA01,H001091,"HINSON,ASHLEY","Hinson, Ashley",Mrs.,Ashley,,Hinson,,Ashley Hinson,Mrs. Hinson,0,R,R,IA,Iowa,1st,Marion,LHOB,1429,20515,1501,(202) 225-2911,20201103,20210103
IA02,M001215,"MILLERMEEKS,MARIANNETTE","Miller-Meeks, Mariannette",Mrs.,Mariannette,,Miller-Meeks,,Mariannette Miller-Meeks,Mrs. Miller-Meeks,0,R,R,IA,Iowa,2nd,Le Claire,LHOB,1716,20515,1502,(202) 225-6576,20201103,20210103
IA03,A000378,"AXNE,CYNTHIA","Axne, Cynthia",Mrs.,Cynthia,,Axne,,Cynthia Axne,Mrs. Axne,116,D,D,IA,Iowa,3rd,West Des Moines,LHOB,1034,20515,1503,(202) 225-5476,20201103,20210103
IA04,F000446,"FEENSTRA,RANDY","Feenstra, Randy",Mr.,Randy,,Feenstra,,Randy Feenstra,Mr. Feenstra,0,R,R,IA,Iowa,4th,Hull,LHOB,1440,20515,1504,(202) 225-4426,20201103,20210103
ID01,F000469,"FULCHER,RUSS","Fulcher, Russ",Mr.,Russ,,Fulcher,,Russ Fulcher,Mr. Fulcher,116,R,R,ID,Idaho,1st,Meridian,LHOB,1520,20515,1201,(202) 225-6611,20201103,20210103
ID02,S001148,"SIMPSON,MICHAEL","Simpson, Michael",Mr.,Michael,K.,Simpson,,Michael K. Simpson,Mr. Simpson,116,R,R,ID,Idaho,2nd,Idaho Falls,RHOB,2084,20515,1202,(202) 225-5531,20201103,20210103
IL01,R000515,"RUSH,BOBBY","Rush, Bobby",Mr.,Bobby,L.,Rush,,Bobby L. Rush,Mr. Rush,116,D,D,IL,Illinois,1st,Chicago,RHOB,2188,20515,1301,(202) 225-4372,20201103,20210103
IL02,K000385,"KELLY,ROBIN","Kelly, Robin",Ms.,Robin,L.,Kelly,,Robin L. Kelly,Ms. Kelly of Illinois,116,D,D,IL,Illinois,2nd,Matteson,RHOB,2416,20515,1302,(202) 225-0773,20201103,20210103
IL03,N000192,"NEWMAN,MARIE","Newman, Marie",Ms.,Marie,,Newman,,Marie Newman,Ms. Newman,0,D,D,IL,Illinois,3rd,La Grange,LHOB,1022,20515,1303,(202) 225-5701,20201103,20210103
IL04,G000586,"GARCIA,JESUS","García, Jesús",Mr.,Jesús,"G. ""Chuy""",García,,"Jesús G. ""Chuy"" García",Mr. García of Illinois,116,D,D,IL,Illinois,4th,Chicago,LHOB,1519,20515,1304,(202) 225-8203,20201103,20210103
IL05,Q000023,"QUIGLEY,MIKE","Quigley, Mike",Mr.,Mike,,Quigley,,Mike Quigley,Mr. Quigley,116,D,D,IL,Illinois,5th,Chicago,RHOB,2078,20515,1305,(202) 225-4061,20201103,20210103
IL06,C001117,"CASTEN,SEAN","Casten, Sean",Mr.,Sean,,Casten,,Sean Casten,Mr. Casten,116,D,D,IL,Illinois,6th,Downers Grove,RHOB,2440,20515,1306,(202) 225-4561,20201103,20210103
IL07,D000096,"DAVIS,DANNY","Davis, Danny",Mr.,Danny,K.,Davis,,Danny K. Davis,Mr. Danny K. Davis of Illinois,116,D,D,IL,Illinois,7th,Chicago,RHOB,2159,20515,1307,(202) 225-5006,20201103,20210103
IL08,K000391,"KRISHNAMOORTHI,RAJA","Krishnamoorthi, Raja",Mr.,Raja,,Krishnamoorthi,,Raja Krishnamoorthi,Mr. Krishnamoorthi,116,D,D,IL,Illinois,8th,Schaumburg,CHOB,115,20515,1308,(202) 225-3711,20201103,20210103
IL09,S001145,"SCHAKOWSKY,JANICE","Schakowsky, Janice",Ms.,Janice,D.,Schakowsky,,Janice D. Schakowsky,Ms. Schakowsky,116,D,D,IL,Illinois,9th,Evanston,RHOB,2367,20515,1309,(202) 225-2111,20201103,20210103
IL10,S001190,"SCHNEIDER,BRADLEY","Schneider, Bradley",Mr.,Bradley,Scott,Schneider,,Bradley Scott Schneider,Mr. Schneider,116,D,D,IL,Illinois,10th,Deerfield,CHOB,300,20515,1310,(202) 225-4835,20201103,20210103
IL11,F000454,"FOSTER,BILL","Foster, Bill",Mr.,Bill,,Foster,,Bill Foster,Mr. Foster,116,D,D,IL,Illinois,11th,Naperville,RHOB,2366,20515,1311,(202) 225-3515,20201103,20210103
IL12,B001295,"BOST,MIKE","Bost, Mike",Mr.,Mike,,Bost,,Mike Bost,Mr. Bost,116,R,R,IL,Illinois,12th,Murphysboro,LHOB,1211,20515,1312,(202) 225-5661,20201103,20210103
IL13,D000619,"DAVIS,RODNEY","Davis, Rodney",Mr.,Rodney,,Davis,,Rodney Davis,Mr. Rodney Davis of Illinois,116,R,R,IL,Illinois,13th,Taylorville,RHOB,2079,20515,1313,(202) 225-2371,20201103,20210103
IL14,U000040,"UNDERWOOD,LAUREN","Underwood, Lauren",Ms.,Lauren,,Underwood,,Lauren Underwood,Ms. Underwood,116,D,D,IL,Illinois,14th,Naperville,LHOB,1130,20515,1314,(202) 225-2976,20201103,20210103
IL15,M001211,"MILLER,MARY","Miller, Mary",Mrs.,Mary,E.,Miller,,Mary E. Miller,Mrs. Miller of Illinois,0,R,R,IL,Illinois,15th,Oakland,LHOB,1529,20515,1315,(202) 225-5271,20201103,20210103
IL16,K000378,"KINZINGER,ADAM","Kinzinger, Adam",Mr.,Adam,,Kinzinger,,Adam Kinzinger,Mr. Kinzinger,116,R,R,IL,Illinois,16th,Channahon,RHOB,2245,20515,1316,(202) 225-3635,20201103,20210103
IL17,B001286,"BUSTOS,CHERI","Bustos, Cheri",Mrs.,Cheri,,Bustos,,Cheri Bustos,Mrs. Bustos,116,D,D,IL,Illinois,17th,Moline,LHOB,1233,20515,1317,(202) 225-5905,20201103,20210103
IL18,L000585,"LAHOOD,DARIN","LaHood, Darin",Mr.,Darin,,LaHood,,Darin LaHood,Mr. LaHood,116,R,R,IL,Illinois,18th,Peoria,LHOB,1424,20515,1318,(202) 225-6201,20201103,20210103
IN01,M001214,"MRVAN,FRANK","Mrvan, Frank",Mr.,Frank,J.,Mrvan,,Frank J. Mrvan,Mr. Mrvan,0,D,D,IN,Indiana,1st,Highland,LHOB,1607,20515,1401,(202) 225-2461,20201103,20210103
IN02,Y000067,"YAKYM,RUDY","Yakym, Rudy",Mr.,Rudy,,Yakym,III,"Rudy Yakym, III",Mr. Yakym,0,R,R,IN,Indiana,2nd,Granger,CHOB,466,20515,1402,(202) 225-3915,20221108,20221114
IN03,B001299,"BANKS,JIM","Banks, Jim",Mr.,Jim,,Banks,,Jim Banks,Mr. Banks,116,R,R,IN,Indiana,3rd,Columbia City,LHOB,1713,20515,1403,(202) 225-4436,20201103,20210103
IN04,B001307,"BAIRD,JAMES","Baird, James",Mr.,James,R.,Baird,,James R. Baird,Mr. Baird,116,R,R,IN,Indiana,4th,Greencastle,LHOB,1314,20515,1404,(202) 225-5037,20201103,20210103
IN05,S000929,"SPARTZ,VICTORIA","Spartz, Victoria",Mrs.,Victoria,,Spartz,,Victoria Spartz,Mrs. Spartz,0,R,R,IN,Indiana,5th,Noblesville,LHOB,1523,20515,1405,(202) 225-2276,20201103,20210103
IN06,P000615,"PENCE,GREG","Pence, Greg",Mr.,Greg,,Pence,,Greg Pence,Mr. Pence,116,R,R,IN,Indiana,6th,Columbus,CHOB,211,20515,1406,(202) 225-3021,20201103,20210103
IN07,C001072,"CARSON,ANDRE","Carson, André",Mr.,André,,Carson,,André Carson,Mr. Carson,116,D,D,IN,Indiana,7th,Indianapolis,RHOB,2135,20515,1407,(202) 225-4011,20201103,20210103
IN08,B001275,"BUCSHON,LARRY","Bucshon, Larry",Mr.,Larry,,Bucshon,,Larry Bucshon,Mr. Bucshon,116,R,R,IN,Indiana,8th,Evansville,RHOB,2313,20515,1408,(202) 225-4636,20201103,20210103
IN09,H001074,"HOLLINGSWORTH,TREY","Hollingsworth, Trey",Mr.,Trey,,Hollingsworth,,Trey Hollingsworth,Mr. Hollingsworth,116,R,R,IN,Indiana,9th,Jeffersonville,LHOB,1641,20515,1409,(202) 225-5315,20201103,20210103
KS01,M000871,"MANN,TRACEY","Mann, Tracey",Mr.,Tracey,,Mann,,Tracey Mann,Mr. Mann,0,R,R,KS,Kansas,1st,Salina,CHOB,522,20515,1601,(202) 225-2715,20201103,20210103
KS02,L000266,"LATURNER,JAKE","LaTurner, Jake",Mr.,Jake,,LaTurner,,Jake LaTurner,Mr. LaTurner,0,R,R,KS,Kansas,2nd,Topeka,LHOB,1630,20515,1602,(202) 225-6601,20201103,20210103
KS03,D000629,"DAVIDS,SHARICE","Davids, Sharice",Ms.,Sharice,,Davids,,Sharice Davids,Ms. Davids of Kansas,116,D,D,KS,Kansas,3rd,Roeland Park,LHOB,1541,20515,1603,(202) 225-2865,20201103,20210103
KS04,E000298,"ESTES,RON","Estes, Ron",Mr.,Ron,,Estes,,Ron Estes,Mr. Estes,116,R,R,KS,Kansas,4th,Wichita,RHOB,2411,20515,1604,(202) 225-6216,20201103,20210103
KY01,C001108,"COMER,JAMES","Comer, James",Mr.,James,,Comer,,James Comer,Mr. Comer,116,R,R,KY,Kentucky,1st,Tompkinsville,RHOB,2410,20515,1701,(202) 225-3115,20201103,20210103
KY02,G000558,"GUTHRIE,BRETT","Guthrie, Brett",Mr.,Brett,,Guthrie,,Brett Guthrie,Mr. Guthrie,116,R,R,KY,Kentucky,2nd,Bowling Green,RHOB,2434,20515,1702,(202) 225-3501,20201103,20210103
KY03,Y000062,"YARMUTH,JOHN","Yarmuth, John",Mr.,John,A.,Yarmuth,,John A. Yarmuth,Mr. Yarmuth,116,D,D,KY,Kentucky,3rd,Louisville,CHOB,402,20515,1703,(202) 225-5401,20201103,20210103
KY04,M001184,"MASSIE,THOMAS","Massie, Thomas",Mr.,Thomas,,Massie,,Thomas Massie,Mr. Massie,116,R,R,KY,Kentucky,4th,Garrison,RHOB,2453,20515,1704,(202) 225-3465,20201103,20210103
KY05,R000395,"ROGERS,HAROLD","Rogers, Harold",Mr.,Harold,,Rogers,,Harold Rogers,Mr. Rogers of Kentucky,116,R,R,KY,Kentucky,5th,Somerset,RHOB,2406,20515,1705,(202) 225-4601,20201103,20210103
KY06,B001282,"BARR,ANDY","Barr, Andy",Mr.,Andy,,Barr,,Andy Barr,Mr. Barr,116,R,R,KY,Kentucky,6th,Lexington,RHOB,2430,20515,1706,(202) 225-4706,20201103,20210103
LA01,S001176,"SCALISE,STEVE","Scalise, Steve",Mr.,Steve,,Scalise,,Steve Scalise,Mr. Scalise,116,R,R,LA,Louisiana,1st,Jefferson,RHOB,2049,20515,1801,(202) 225-3015,20201103,20210103
LA02,C001125,"CARTER,TROY","Carter, Troy",Mr.,Troy,A.,Carter,,Troy A. Carter,Mr. Carter of Louisiana,0,D,D,LA,Louisiana,2nd,New Orleans,CHOB,506,20515,1802,(202) 225-6636,20210424,20210511
LA03,H001077,"HIGGINS,CLAY","Higgins, Clay",Mr.,Clay,,Higgins,,Clay Higgins,Mr. Higgins of Louisiana,116,R,R,LA,Louisiana,3rd,Lafayette,CHOB,572,20515,1803,(202) 225-2031,20201103,20210103
LA04,J000299,"JOHNSON,MIKE","Johnson, Mike",Mr.,Mike,,Johnson,,Mike Johnson,Mr. Johnson of Louisiana,116,R,R,LA,Louisiana,4th,Benton,CHOB,568,20515,1804,(202) 225-2777,20201103,20210103
LA05,L000595,"LETLOW,JULIA","Letlow, Julia",Ms.,Julia,,Letlow,,Julia Letlow,Ms. Letlow,0,R,R,LA,Louisiana,5th,Start,LHOB,1408,20515,1805,(202) 225-8490,20210320,20210414
LA06,G000577,"GRAVES,GARRET","Graves, Garret",Mr.,Garret,,Graves,,Garret Graves,Mr. Graves of Louisiana,116,R,R,LA,Louisiana,6th,Baton Rouge,RHOB,2402,20515,1806,(202) 225-3901,20201103,20210103
MA01,N000015,"NEAL,RICHARD","Neal, Richard",Mr.,Richard,E.,Neal,,Richard E. Neal,Mr. Neal,116,D,D,MA,Massachusetts,1st,Springfield,CHOB,372,20515,2101,(202) 225-5601,20201103,20210103
MA02,M000312,"MCGOVERN,JAMES","McGovern, James",Mr.,James,P.,McGovern,,James P. McGovern,Mr. McGovern,116,D,D,MA,Massachusetts,2nd,Worcester,CHOB,370,20515,2102,(202) 225-6101,20201103,20210103
MA03,T000482,"TRAHAN,LORI","Trahan, Lori",Mrs.,Lori,,Trahan,,Lori Trahan,Mrs. Trahan,116,D,D,MA,Massachusetts,3rd,Westford,RHOB,2439,20515,2103,(202) 225-3411,20201103,20210103
MA04,A000148,"AUCHINCLOSS,JAKE","Auchincloss, Jake",Mr.,Jake,,Auchincloss,,Jake Auchincloss,Mr. Auchincloss,0,D,D,MA,Massachusetts,4th,Newton,LHOB,1524,20515,2104,(202) 225-5931,20201103,20210103
MA05,C001101,"CLARK,KATHERINE","Clark, Katherine",Ms.,Katherine,M.,Clark,,Katherine M. Clark,Ms. Clark of Massachusetts,116,D,D,MA,Massachusetts,5th,Revere,RHOB,2448,20515,2105,(202) 225-2836,20201103,20210103
MA06,M001196,"MOULTON,SETH","Moulton, Seth",Mr.,Seth,,Moulton,,Seth Moulton,Mr. Moulton,116,D,D,MA,Massachusetts,6th,Ann Arbor,LHOB,1127,20515,2106,(202) 225-8020,20201103,20210103
MA07,P000617,"PRESSLEY,AYANNA","Pressley, Ayanna",Ms.,Ayanna,,Pressley,,Ayanna Pressley,Ms. Pressley,116,D,D,MA,Massachusetts,7th,Boston,LHOB,1108,20515,2107,(202) 225-5111,20201103,20210103
MA08,L000562,"LYNCH,STEPHEN","Lynch, Stephen",Mr.,Stephen,F.,Lynch,,Stephen F. Lynch,Mr. Lynch,116,D,D,MA,Massachusetts,8th,Flint Township,RHOB,2109,20515,2108,(202) 225-8273,20201103,20210103
MA09,K000375,"KEATING,WILLIAM","Keating, William",Mr.,William,R.,Keating,,William R. Keating,Mr. Keating,116,D,D,MA,Massachusetts,9th,Bourne,RHOB,2351,20515,2109,(202) 225-3111,20201103,20210103
MD01,H001052,"HARRIS,ANDY","Harris, Andy",Mr.,Andy,,Harris,,Andy Harris,Mr. Harris,116,R,R,MD,Maryland,1st,Cambridge,RHOB,2334,20515,2001,(202) 225-5311,20201103,20210103
MD02,R000576,"RUPPERSBERGER,C.","Ruppersberger, C.",Mr.,C.,A. Dutch,Ruppersberger,,C. A. Dutch Ruppersberger,Mr. Ruppersberger,116,D,D,MD,Maryland,2nd,Cockeysville,RHOB,2206,20515,2002,(202) 225-3061,20201103,20210103
MD03,S001168,"SARBANES,JOHN","Sarbanes, John",Mr.,John,P.,Sarbanes,,John P. Sarbanes,Mr. Sarbanes,116,D,D,MD,Maryland,3rd,Baltimore,RHOB,2370,20515,2003,(202) 225-4016,20201103,20210103
MD04,B001304,"BROWN,ANTHONY","Brown, Anthony",Mr.,Anthony,G.,Brown,,Anthony G. Brown,Mr. Brown of Maryland,116,D,D,MD,Maryland,4th,Bowie,LHOB,1323,20515,2004,(202) 225-8699,20201103,20210103
MD05,H000874,"HOYER,STENY","Hoyer, Steny",Mr.,Steny,H.,Hoyer,,Steny H. Hoyer,Mr. Hoyer,116,D,D,MD,Maryland,5th,Mechanicsville,LHOB,1705,20515,2005,(202) 225-4131,20201103,20210103
MD06,T000483,"TRONE,DAVID","Trone, David",Mr.,David,J.,Trone,,David J. Trone,Mr. Trone,116,D,D,MD,Maryland,6th,Potomac,LHOB,1110,20515,2006,(202) 225-2721,20201103,20210103
MD07,M000687,"MFUME,KWEISI","Mfume, Kweisi",Mr.,Kweisi,,Mfume,,Kweisi Mfume,Mr. Mfume,116,D,D,MD,Maryland,7th,Baltimore,RHOB,2263,20515,2007,(202) 225-4741,20201103,20210103
MD08,R000606,"RASKIN,JAMIE","Raskin, Jamie",Mr.,Jamie,,Raskin,,Jamie Raskin,Mr. Raskin,116,D,D,MD,Maryland,8th,Takoma Park,RHOB,2242,20515,2008,(202) 225-5341,20201103,20210103
ME01,P000597,"PINGREE,CHELLIE","Pingree, Chellie",Ms.,Chellie,,Pingree,,Chellie Pingree,Ms. Pingree,116,D,D,ME,Maine,1st,North Haven,RHOB,2162,20515,1901,(202) 225-6116,20201103,20210103
ME02,G000592,"GOLDEN,JARED","Golden, Jared",Mr.,Jared,F.,Golden,,Jared F. Golden,Mr. Golden,116,D,D,ME,Maine,2nd,Lewiston,LHOB,1222,20515,1902,(202) 225-6306,20201103,20210103
MI01,B001301,"BERGMAN,JACK","Bergman, Jack",Mr.,Jack,,Bergman,,Jack Bergman,Mr. Bergman,116,R,R,MI,Michigan,1st,Watersmeet,CHOB,566,20515,2201,(202) 225-4735,20201103,20210103
MI02,H001058,"HUIZENGA,BILL","Huizenga, Bill",Mr.,Bill,,Huizenga,,Bill Huizenga,Mr. Huizenga,116,R,R,MI,Michigan,2nd,Holland,RHOB,2232,20515,2202,(202) 225-4401,20201103,20210103
MI03,M001186,"MEIJER,PETER","Meijer, Peter",Mr.,Peter,,Meijer,,Peter Meijer,Mr. Meijer,0,R,R,MI,Michigan,3rd,Grand Rapids,LHOB,1508,20515,2203,(202) 225-3831,20201103,20210103
MI04,M001194,"MOOLENAAR,JOHN","Moolenaar, John",Mr.,John,R.,Moolenaar,,John R. Moolenaar,Mr. Moolenaar,116,R,R,MI,Michigan,4th,Caledonia,CHOB,117,20515,2204,(202) 225-3561,20201103,20210103
MI05,K000380,"KILDEE,DANIEL","Kildee, Daniel",Mr.,Daniel,T.,Kildee,,Daniel T. Kildee,Mr. Kildee,116,D,D,MI,Michigan,5th,Flushing,CHOB,200,20515,2205,(202) 225-3611,20201103,20210103
MI06,U000031,"UPTON,FRED","Upton, Fred",Mr.,Fred,,Upton,,Fred Upton,Mr. Upton,116,R,R,MI,Michigan,6th,St. Joseph,RHOB,2183,20515,2206,(202) 225-3761,20201103,20210103
MI07,W000798,"WALBERG,TIM","Walberg, Tim",Mr.,Tim,,Walberg,,Tim Walberg,Mr. Walberg,116,R,R,MI,Michigan,7th,Tipton,RHOB,2266,20515,2207,(202) 225-6276,20201103,20210103
MI08,S001208,"SLOTKIN,ELISSA","Slotkin, Elissa",Ms.,Elissa,,Slotkin,,Elissa Slotkin,Ms. Slotkin,116,D,D,MI,Michigan,8th,Holly,LHOB,1210,20515,2208,(202) 225-4872,20201103,20210103
MI09,L000592,"LEVIN,ANDY","Levin, Andy",Mr.,Andy,,Levin,,Andy Levin,Mr. Levin of Michigan,116,D,D,MI,Michigan,9th,Bloomfield Township,CHOB,312,20515,2209,(202) 225-4961,20201103,20210103
MI10,M001136,"MCCLAIN,LISA","McClain, Lisa",Mrs.,Lisa,C.,McClain,,Lisa C. McClain,Mrs. McClain,0,R,R,MI,Michigan,10th,Bruce,CHOB,218,20515,2210,(202) 225-2106,20201103,20210103
MI11,S001215,"STEVENS,HALEY","Stevens, Haley",Ms.,Haley,M.,Stevens,,Haley M. Stevens,Ms. Stevens,116,D,D,MI,Michigan,11th,Birmingham,LHOB,1510,20515,2211,(202) 225-8171,20201103,20210103
MI12,D000624,"DINGELL,DEBBIE","Dingell, Debbie",Mrs.,Debbie,,Dingell,,Debbie Dingell,Mrs. Dingell,116,D,D,MI,Michigan,12th,Dearborn,CHOB,116,20515,2212,(202) 225-4071,20201103,20210103
MI13,T000481,"TLAIB,RASHIDA","Tlaib, Rashida",Ms.,Rashida,,Tlaib,,Rashida Tlaib,Ms. Tlaib,116,D,D,MI,Michigan,13th,Detroit,LHOB,1628,20515,2213,(202) 225-5126,20201103,20210103
MI14,L000581,"LAWRENCE,BRENDA","Lawrence, Brenda",Mrs.,Brenda,L.,Lawrence,,Brenda L. Lawrence,Mrs. Lawrence,116,D,D,MI,Michigan,14th,Southfield,RHOB,2463,20515,2214,(202) 225-5802,20201103,20210103
MN01,F000475,"FINSTAD,BRAD","Finstad, Brad",Mr.,Brad,,Finstad,,Brad Finstad,Mr. Finstad,0,R,R,MN,Minnesota,1st,New Ulm,LHOB,1433,20515,2301,(202) 225-2472,20220809,20220812
MN02,C001119,"CRAIG,ANGIE","Craig, Angie",Ms.,Angie,,Craig,,Angie Craig,Ms. Craig,116,D,D,MN,Minnesota,2nd,Prior Lake,RHOB,2442,20515,2302,(202) 225-2271,20201103,20210103
MN03,P000616,"PHILLIPS,DEAN","Phillips, Dean",Mr.,Dean,,Phillips,,Dean Phillips,Mr. Phillips,116,D,D,MN,Minnesota,3rd,Plymouth,RHOB,2452,20515,2303,(202) 225-2871,20201103,20210103
MN04,M001143,"MCCOLLUM,BETTY","McCollum, Betty",Ms.,Betty,,McCollum,,Betty McCollum,Ms. McCollum,116,D,D,MN,Minnesota,4th,St. Paul,RHOB,2256,20515,2304,(202) 225-6631,20201103,20210103
MN05,O000173,"OMAR,ILHAN","Omar, Ilhan",Ms.,Ilhan,,Omar,,Ilhan Omar,Ms. Omar,116,D,D,MN,Minnesota,5th,Minneapolis,LHOB,1730,20515,2305,(202) 225-4755,20201103,20210103
MN06,E000294,"EMMER,TOM","Emmer, Tom",Mr.,Tom,,Emmer,,Tom Emmer,Mr. Emmer,116,R,R,MN,Minnesota,6th,Delano,CHOB,315,20515,2306,(202) 225-2331,20201103,20210103
MN07,F000470,"FISCHBACH,MICHELLE","Fischbach, Michelle",Mrs.,Michelle,,Fischbach,,Michelle Fischbach,Mrs. Fischbach,0,R,R,MN,Minnesota,7th,Regal,LHOB,1237,20515,2307,(202) 225-2165,20201103,20210103
MN08,S001212,"STAUBER,PETE","Stauber, Pete",Mr.,Pete,,Stauber,,Pete Stauber,Mr. Stauber,116,R,R,MN,Minnesota,8th,Hermantown,CHOB,461,20515,2308,(202) 225-6211,20201103,20210103
MO01,B001224,"BUSH,CORI","Bush, Cori",Ms.,Cori,,Bush,,Cori Bush,Ms. Bush,0,D,D,MO,Missouri,1st,St. Louis,CHOB,563,20515,2501,(202) 225-2406,20201103,20210103
MO02,W000812,"WAGNER,ANN","Wagner, Ann",Mrs.,Ann,,Wagner,,Ann Wagner,Mrs. Wagner,116,R,R,MO,Missouri,2nd,Ballwin,RHOB,2350,20515,2502,(202) 225-1621,20201103,20210103
MO03,L000569,"LUETKEMEYER,BLAINE","Luetkemeyer, Blaine",Mr.,Blaine,,Luetkemeyer,,Blaine Luetkemeyer,Mr. Luetkemeyer,116,R,R,MO,Missouri,3rd,St. Elizabeth,RHOB,2230,20515,2503,(202) 225-2956,20201103,20210103
MO04,H001053,"HARTZLER,VICKY","Hartzler, Vicky",Mrs.,Vicky,,Hartzler,,Vicky Hartzler,Mrs. Hartzler,116,R,R,MO,Missouri,4th,Harrisonville,RHOB,2235,20515,2504,(202) 225-2876,20201103,20210103
MO05,C001061,"CLEAVER,EMANUEL","Cleaver, Emanuel",Mr.,Emanuel,,Cleaver,,Emanuel Cleaver,Mr. Cleaver,116,D,D,MO,Missouri,5th,Kansas City,RHOB,2335,20515,2505,(202) 225-4535,20201103,20210103
MO06,G000546,"GRAVES,SAM","Graves, Sam",Mr.,Sam,,Graves,,Sam Graves,Mr. Graves of Missouri,116,R,R,MO,Missouri,6th,Tarkio,LHOB,1135,20515,2506,(202) 225-7041,20201103,20210103
MO07,L000576,"LONG,BILLY","Long, Billy",Mr.,Billy,,Long,,Billy Long,Mr. Long,116,R,R,MO,Missouri,7th,Springfield,RHOB,2454,20515,2507,(202) 225-6536,20201103,20210103
